"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","EBS Optimized surcharge"
"C3 High-CPU Large","c3.large","3.75 GB","7 units","2 vCPUs","0","0","3.5 units","32 GB               (2 * 16 GB SSD)","No","No","32/64-bit","Moderate","N/A","0 MB/s","0 IOPS","30","Yes","No","Yes","Yes","HVM, PV","$0.120 hourly","$0.090 hourly","$0.188 hourly","$0.186 hourly","$0.271 hourly","$0.192 hourly","$0.561 hourly","$0.406 hourly","unavailable"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GB","108 units","32 vCPUs","0","0","3.375 units","640 GB               (2 * 320 GB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","Yes","No","Yes","Yes","HVM, PV","$1.912 hourly","$1.440 hourly","$3.008 hourly","$2.961 hourly","$4.332 hourly","$3.081 hourly","$8.523 hourly","$6.170 hourly","unavailable"
"G2 Eight Extra Large","g2.8xlarge","60.0 GB","104 units","32 vCPUs","4","0","3.25 units","240 GB               (2 * 120 GB SSD)","No","No","64-bit","High","N/A","0 MB/s","0 IOPS","240","No","No","No","Yes","HVM","$2.808 hourly","$2.056 hourly","$3.086 hourly","$2.139 hourly","unavailable","unavailable","unavailable","unavailable","unavailable"
"R3 High-Memory Large","r3.large","15.25 GB","6.5 units","2 vCPUs","0","0","3.25 units","32 GB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","30","Yes","No","Yes","Yes","HVM","$0.185 hourly","$0.136 hourly","$0.290 hourly","$0.251 hourly","$0.386 hourly","$0.272 hourly","$0.946 hourly","$0.833 hourly","unavailable"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GB","104 units","32 vCPUs","0","0","3.25 units","640 GB               (2 * 320 GB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","Yes","No","Yes","Yes","HVM","$2.964 hourly","$2.174 hourly","$3.500 hourly","$2.518 hourly","$3.855 hourly","$2.717 hourly","$8.615 hourly","$7.594 hourly","unavailable"
"R4 High-Memory Large","r4.large","15.25 GB","7 units","2 vCPUs","0","0","3.5 units","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","437.0 Mbps","54.0 MB/s","3000.0 IOPS","30","Yes","Yes","Yes","Yes","HVM","$0.148 hourly","$0.093 hourly","$0.240 hourly","$0.185 hourly","$0.296 hourly","$0.247 hourly","$0.465 hourly","$0.656 hourly","0"
"I3 High I/O Large","i3.large","15.25 GB","7 units","2 vCPUs","0","0","3.5 units","475 GB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","425.0 Mbps","50.0 MB/s","3000.0 IOPS","30","Yes","Yes","Yes","Yes","Unknown","$0.172 hourly","$0.118 hourly","$0.264 hourly","$0.210 hourly","$0.319 hourly","$0.270 hourly","$0.488 hourly","$0.679 hourly","0"
"M4 Large","m4.large","8.0 GB","6.5 units","2 vCPUs","0","0","3.25 units","EBS only","N/A","N/A","64-bit","Moderate","450.0 Mbps","56.25 MB/s","3600.0 IOPS","20","Yes","Yes","Yes","Yes","HVM","$0.111 hourly","$0.076 hourly","$0.203 hourly","$0.168 hourly","$0.24 hourly","$0.194 hourly","$0.432 hourly","$0.634 hourly","$0.00 hourly"
"M1 General Purpose Large","m1.large","7.5 GB","4 units","2 vCPUs","0","0","2 units","840 GB               (2 * 420 GB HDD)","No","N/A","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","30","No","No","No","No","PV","$0.190 hourly","$0.136 hourly","$0.299 hourly","$0.265 hourly","$0.435 hourly","$0.284 hourly","$0.955 hourly","$0.665 hourly","$0.025 hourly"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GB","13 units","4 vCPUs","0","0","3.25 units","850 GB               HDD","No","N/A","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","120","No","No","No","No","PV","$0.550 hourly","$0.268 hourly","$0.690 hourly","$0.625 hourly","$0.85 hourly","$0.622 hourly","$1.489 hourly","$0.944 hourly","$0.025 hourly"
"I2 Extra Large","i2.xlarge","30.5 GB","14 units","4 vCPUs","0","0","3.5 units","800 GB               SSD","Yes","Yes","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","60","No","No","Yes","Yes","HVM","$0.938 hourly","$0.515 hourly","$0.973 hourly","$0.706 hourly","$0.993 hourly","$0.578 hourly","$1.23 hourly","$0.768 hourly","$0.02 hourly"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GB","13 units","4 vCPUs","0","0","3.25 units","80 GB               (2 * 40 GB SSD)","No","No","64-bit","High","500.0 Mbps","62.5 MB/s","4000.0 IOPS","60","No","No","No","No","HVM, PV","$0.293 hourly","$0.220 hourly","$0.517 hourly","$0.455 hourly","$0.734 hourly","$0.479 hourly","$1.266 hourly","$0.882 hourly","$0.025 hourly"
"C4 High-CPU Large","c4.large","3.75 GB","8 units","2 vCPUs","0","0","4 units","EBS only","N/A","N/A","64-bit","Moderate","500.0 Mbps","62.5 MB/s","4000.0 IOPS","30","Yes","Yes","Yes","Yes","HVM","$0.113 hourly","$0.078 hourly","$0.205 hourly","$0.170 hourly","$0.331 hourly","$0.226 hourly","$1.319 hourly","$1.068 hourly","$0.00 hourly"
