"Name","API Name","Memory","Storage","EBS Throughput","Processor","vCPUs","Network Performance","Arch","Amazon Aurora On Demand cost","Amazon Aurora Reserved cost","MariaDB On Demand cost","MariaDB Reserved cost","MySQL On Demand cost","MySQL Reserved cost","Oracle On Demand cost","Oracle Reserved cost","PostgreSQL On Demand cost","PostgreSQL Reserved cost","SQL Server On Demand cost","SQL Server Reserved cost"
"DB M2","db.m2.xlarge","17.1 GB","1 x 420","N/A","Intel Xeon Family","2 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","$0.365 hourly","unavailable","$0.365 hourly","unavailable","$0.365 hourly","unavailable","$0.430 hourly","unavailable"
"DB T2","db.t2.large","8 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.209 hourly","unavailable","$0.209 hourly","unavailable","$0.380 hourly","unavailable","$0.224 hourly","unavailable","$0.254 hourly","unavailable"
"DB M3","db.m3.xlarge","15 GB","2 x 40 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","4 vCPUs","High","64-bit","unavailable","unavailable","$0.485 hourly","unavailable","$0.485 hourly","unavailable","$0.485 hourly","unavailable","$0.485 hourly","unavailable","$0.685 hourly","unavailable"
"DB M4","db.m4.xlarge","16 GB","0 GB (EBS only)","750 Mbps","Intel Xeon E5-2676 v3 (Haswell)","4 vCPUs","High","64-bit","unavailable","unavailable","$0.508 hourly","unavailable","$0.508 hourly","unavailable","$0.508 hourly","unavailable","$0.530 hourly","unavailable","$0.710 hourly","unavailable"
"DB R3","db.r3.xlarge","30.5 GB","1 x 80 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","4 vCPUs","Moderate","64-bit","$0.700 hourly","unavailable","$0.570 hourly","unavailable","$0.570 hourly","unavailable","$0.570 hourly","unavailable","$0.600 hourly","unavailable","$1.600 hourly","unavailable"
"DB M1","db.m1.large","7.5 GB","2 x 420","N/A","Intel Xeon Family","2 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","$0.290 hourly","unavailable","$0.581 hourly","unavailable","$0.290 hourly","unavailable","$0.485 hourly","unavailable"
"DB M1","db.m1.xlarge","15 GB","4 x 420","N/A","Intel Xeon Family","4 vCPUs","High","64-bit","unavailable","unavailable","unavailable","unavailable","$0.585 hourly","unavailable","$0.585 hourly","unavailable","$0.585 hourly","unavailable","$0.930 hourly","unavailable"
"DB M2","db.m2.2xlarge","34.2 GB","1 x 850","N/A","Intel Xeon Family","4 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","$0.740 hourly","unavailable","$0.740 hourly","unavailable","$0.730 hourly","unavailable","$0.870 hourly","unavailable"
"DB M3","db.m3.2xlarge","30 GB","2 x 80 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","8 vCPUs","High","64-bit","unavailable","unavailable","$0.965 hourly","unavailable","$0.965 hourly","unavailable","$0.965 hourly","unavailable","$0.970 hourly","unavailable","$1.365 hourly","unavailable"
"DB M4","db.m4.2xlarge","32 GB","0 GB (EBS only)","1000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","8 vCPUs","High","64-bit","unavailable","unavailable","$1.017 hourly","unavailable","$1.017 hourly","unavailable","$1.017 hourly","unavailable","$1.061 hourly","unavailable","$2.867 hourly","unavailable"
"DB R3","db.r3.2xlarge","61 GB","1 x 160 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","8 vCPUs","High","64-bit","$1.400 hourly","unavailable","$1.135 hourly","unavailable","$1.135 hourly","unavailable","$1.135 hourly","unavailable","$1.195 hourly","unavailable","$3.210 hourly","unavailable"
"DB R3","db.r3.4xlarge","122 GB","1 x 320 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","16 vCPUs","High","64-bit","$2.800 hourly","unavailable","$2.270 hourly","unavailable","$2.270 hourly","unavailable","$2.270 hourly","unavailable","$2.390 hourly","unavailable","$2.870 hourly","unavailable"
"DB M2","db.m2.4xlarge","68.4 GB","2 x 840","N/A","Intel Xeon Family","8 vCPUs","High","64-bit","unavailable","unavailable","unavailable","unavailable","$1.475 hourly","unavailable","$2.580 hourly","unavailable","$1.465 hourly","unavailable","$2.975 hourly","unavailable"
"DB M4","db.m4.4xlarge","64 GB","0 GB (EBS only)","2000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","16 vCPUs","High","64-bit","unavailable","unavailable","$2.034 hourly","unavailable","$2.034 hourly","unavailable","$3.874 hourly","unavailable","$2.122 hourly","unavailable","$2.842 hourly","unavailable"
"DB R3","db.r3.8xlarge","244 GB","2 x 320 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","32 vCPUs","10 Gigabit","64-bit","$5.600 hourly","unavailable","$4.540 hourly","unavailable","$4.540 hourly","unavailable","$4.540 hourly","unavailable","$4.775 hourly","unavailable","$12.840 hourly","unavailable"
"DB M4","db.m4.10xlarge","160 GB","0 GB (EBS only)","4000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","40 vCPUs","10 Gigabit","64-bit","unavailable","unavailable","$5.087 hourly","unavailable","$5.087 hourly","unavailable","$5.087 hourly","unavailable","$5.307 hourly","unavailable","$7.104 hourly","unavailable"
"DB Cr1","db.cr1.8xl","244 GB","2 x 120 SSD","N/A","Intel Xeon E5-2670","32 vCPUs","10 Gigabit","64-bit","unavailable","unavailable","unavailable","unavailable","$5.270 hourly","unavailable","unavailable","unavailable","$5.240 hourly","unavailable","unavailable","unavailable"
